Directory                                                 F1  Precision  Recall  SHD  Partial R²  Status
-----------------------------------------------------  -----  ---------  ------  ---  ----------  -------
synthetic-clean-content-40-base-codebooks-causal       0.667      0.909   0.526   10       0.325  ok
synthetic-causal-clean-content-redo-norm-100-style-4   0.647      0.733   0.579   12       0.309  ok
synthetic-causal-clean-content-40-base-codebooks           —          —       —    —           —  skipped
synthetic-causal-clean-content-128-lambda-003-4-patch  0.727      0.857   0.632    9       0.189  ok
synthetic-clean-content-40-50-true                     0.710      0.917   0.579    9       0.333  ok
gap-pool-per-channel-rescaled                          0.667      0.786   0.579   11       0.321  ok
synthetic-clean-content-causal-redo-new                0.774      1.000   0.632    7       0.257  ok
synthetic-clean-content-causal-actual-baseline-40      0.688      0.846   0.579   10       0.294  ok
synthetic-clean-content-causal-sim-100                 0.667      0.909   0.526   10       0.266  ok
synthetic-clean-content-causal-sim-100-2               0.621      0.900   0.474   11       0.284  ok
synthetic-clean-content-causal-redo-new-2              0.710      0.917   0.579    9       0.306  ok
synthetic-clean-content-causal-sim-100-3               0.690      1.000   0.526    9       0.302  ok
synthetic-clean-content-causal-sim-100-4               0.643      1.000   0.474   10       0.309  ok
synthetic-clean-content-causal-30-18                   0.688      0.846   0.579   10       0.287  ok
synthetic-clean-content-causal-sim-100-5               0.750      0.923   0.632    8       0.325  ok
synthetic-clean-content-causal-sim-100-6               0.667      0.909   0.526   10       0.330  ok
synthetic-clean-content-causal-sim-100-7               0.727      0.857   0.632    9       0.308  ok
synthetic-clean-content-causal-sim-100-8               0.690      1.000   0.526    9       0.279  ok
synthetic-clean-content-causal-ventricle               0.667      0.786   0.579   11       0.309  ok
synthetic-clean-content-causal-30-18-2                 0.727      0.857   0.632    9       0.273  ok
synthetic-clean-content-causal-actual-baseline-40-2    0.750      0.923   0.632    8       0.273  ok
synthetic-clean-content-causal-ident-vent              0.727      0.857   0.632    9       0.301  ok
synthetic-clean-content-causal-sim-no-norm-2           0.733      1.000   0.579    8       0.302  ok
synthetic-clean-content-causal-ident-vent-2            0.710      0.917   0.579    9       0.308  ok
synthetic-clean-content-causal-sim-30-18               0.667      0.786   0.579   11       0.239  ok
synthetic-clean-content-causal-12                      0.667      0.786   0.579   11       0.328  ok
synthetic-clean-content-causal-sim-gap-rescale         0.645      0.833   0.526   11       0.251  ok
synthetic-clean-content-causal-ident-vent-3            0.710      0.917   0.579    9       0.309  ok
synthetic-clean-content-causal-sim-100-bt-7            0.710      0.917   0.579    9       0.318  ok
synthetic-clean-content-causal-ident-vent-hsic         0.516      0.667   0.421   15       0.161  ok
synthetic-clean-content-causal-ident-vent-12-4         0.688      0.846   0.579   10       0.240  ok
synthetic-clean-content-causal-baseline-12-4           0.706      0.800   0.632   10       0.208  ok
synthetic-clean-content-causal-ident-vent-20-4             —          —       —    —           —  error

F1/precision/recall/SHD use the best-F1 alpha; SHD counts missing + extra skeleton edges.
Partial R² is the mean across content factors. — = unavailable (see JSON/CSV for reasons).
