level,section,factor,train_r2,test_r2,completeness,disentanglement
0,content->content,brain_size,0.9964,0.7689,0.5304,
0,content->content,ventricle_size,0.9848,0.0773,0.3725,
0,content->content,lesion_x,0.9545,-0.1326,0.3219,
0,content->content,lesion_y,0.9583,-0.1692,0.3241,
0,content->content,lesion_z,0.9595,-0.0722,0.3164,
0,content->content,cortical_thickness,0.994,0.6155,0.4219,
0,content->content,temporal_atrophy,0.993,0.4348,0.5175,
0,content->content,lr_asymmetry,0.9957,0.6525,0.4948,
0,content->content,sulcal_widening,0.9835,0.2303,0.3704,
0,content->content,(mean),0.98,0.2673,0.4078,0.8073
0,content->style,gain,0.9934,0.6429,0.5188,
0,content->style,bias,0.9716,-0.0115,0.341,
0,content->style,noise_sigma,0.942,-0.1019,0.3093,
0,content->style,(mean),0.969,0.1765,0.3897,0.8581
0,style->style,gain,0.9589,0.6153,0.3008,
0,style->style,bias,0.9107,0.102,0.1474,
0,style->style,noise_sigma,0.8947,-0.1139,0.1141,
0,style->style,(mean),0.9214,0.2011,0.1874,0.3795
0,style->content,brain_size,0.9765,0.6239,0.408,
0,style->content,ventricle_size,0.8834,-0.072,0.1241,
0,style->content,lesion_x,0.8272,-0.3133,0.1263,
0,style->content,lesion_y,0.8964,-0.0613,0.1093,
0,style->content,lesion_z,0.8645,-0.3009,0.1223,
0,style->content,cortical_thickness,0.9669,0.2356,0.1909,
0,style->content,temporal_atrophy,0.9764,0.3308,0.3287,
0,style->content,lr_asymmetry,0.9827,0.6893,0.3029,
0,style->content,sulcal_widening,0.903,0.041,0.1535,
0,style->content,(mean),0.9197,0.1303,0.2073,0.3327
1,content->content,brain_size,0.9969,0.5613,0.4088,
1,content->content,ventricle_size,0.9825,-0.0404,0.3151,
1,content->content,lesion_x,0.976,-0.0366,0.3147,
1,content->content,lesion_y,0.9716,-0.1738,0.3244,
1,content->content,lesion_z,0.9814,-0.0847,0.3109,
1,content->content,cortical_thickness,0.9959,0.4153,0.3747,
1,content->content,temporal_atrophy,0.9976,0.3384,0.4117,
1,content->content,lr_asymmetry,0.9984,0.563,0.4411,
1,content->content,sulcal_widening,0.9924,0.2681,0.3563,
1,content->content,(mean),0.9881,0.2012,0.362,0.8017
1,content->style,gain,0.9944,0.5071,0.4505,
1,content->style,bias,0.9888,0.0809,0.3221,
1,content->style,noise_sigma,0.9792,-0.0669,0.3077,
1,content->style,(mean),0.9875,0.1737,0.3601,0.8325
1,style->style,gain,0.9526,0.2246,0.1374,
1,style->style,bias,0.9258,0.0383,0.1129,
1,style->style,noise_sigma,0.8828,-0.083,0.1005,
1,style->style,(mean),0.9204,0.06,0.1169,0.3085
1,style->content,brain_size,0.9726,0.5999,0.2187,
1,style->content,ventricle_size,0.8851,-0.022,0.1081,
1,style->content,lesion_x,0.8575,-0.2151,0.1068,
1,style->content,lesion_y,0.8826,-0.2102,0.0937,
1,style->content,lesion_z,0.8905,-0.1108,0.109,
1,style->content,cortical_thickness,0.9514,0.1563,0.1374,
1,style->content,temporal_atrophy,0.9793,0.3906,0.306,
1,style->content,lr_asymmetry,0.9842,0.6856,0.2577,
1,style->content,sulcal_widening,0.9227,0.1248,0.14,
1,style->content,(mean),0.9251,0.1555,0.1642,0.3031
2,content->content,brain_size,0.9946,0.3829,0.3487,
2,content->content,ventricle_size,0.9734,-0.0009,0.2862,
2,content->content,lesion_x,0.9773,-0.1733,0.3186,
2,content->content,lesion_y,0.9849,-0.1338,0.3075,
2,content->content,lesion_z,0.9808,-0.0085,0.3036,
2,content->content,cortical_thickness,0.9851,0.1591,0.3209,
2,content->content,temporal_atrophy,0.9938,0.2542,0.3795,
2,content->content,lr_asymmetry,0.9974,0.5157,0.4346,
2,content->content,sulcal_widening,0.983,-0.0451,0.3339,
2,content->content,(mean),0.9856,0.1056,0.337,0.7877
2,content->style,gain,0.989,-0.0703,0.3117,
2,content->style,bias,0.9827,-0.076,0.3109,
2,content->style,noise_sigma,0.9761,-0.0944,0.2963,
2,content->style,(mean),0.9826,-0.0802,0.3063,0.8804
2,style->style,gain,0.9201,-0.1091,0.1063,
2,style->style,bias,0.9256,-0.2836,0.1023,
2,style->style,noise_sigma,0.8963,-0.1816,0.1045,
2,style->style,(mean),0.914,-0.1915,0.1044,0.2549
2,style->content,brain_size,0.9703,0.3442,0.1996,
2,style->content,ventricle_size,0.8806,-0.1368,0.1012,
2,style->content,lesion_x,0.9035,-0.2742,0.114,
2,style->content,lesion_y,0.933,-0.0487,0.1146,
2,style->content,lesion_z,0.932,-0.2337,0.1132,
2,style->content,cortical_thickness,0.9162,0.226,0.1286,
2,style->content,temporal_atrophy,0.9423,0.0242,0.1451,
2,style->content,lr_asymmetry,0.9674,0.3249,0.1633,
2,style->content,sulcal_widening,0.9221,-0.0796,0.1,
2,style->content,(mean),0.9297,0.0163,0.1311,0.2331
